ID	Form	Last_form	Rarity	Name (E)	Name (J)	Group	Level	PV	KB	Movement Speed	AP	DPS	Target	Attack Frequency	Range	Cost	Respawn	Ability	Strength_White	Strength_Red	Strength_Floating	Strength_Black	Strength_Metal	Strength_Angel	Strength_Alien	Strength_Zombies	Strength_Relic	Resist_White	Resist_Red	Resist_Floating	Resist_Black	Resist_Metal	Resist_Angel	Resist_Alien	Resist_Zombies	Resist_Relic	Shockwave	Critic	Owned	DPS_White	DPS_Red	DPS_Floating	DPS_Black	DPS_Metal	DPS_Angel	DPS_Alien	DPS_Zombies	DPS_Relic	Min_Range	Max_Range
005	1	0	基本	Cow Cat	ウシネコ		Lv 20 + 80	21,000	5	30	545	1635	単体	10	140	750	60	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1635	1635	1635	1635	1635	1635	1635	1635	1635	0	140	no_update
005	2	0	基本	Giraffe Cat	ネコキリン		Lv 20 + 80	21,000	5	30	545	1635	単体	10	140	750	60	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1635	1635	1635	1635	1635	1635	1635	1635	1635	0	140	no_update
005	3	1	基本	Lion Cat	ネコライオン		Lv 20 + 80	42,000	5	30	1092	3276	単体	10	140	750	136	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	3276	3276	3276	3276	3276	3276	3276	3276	3276	0	140	no_update
006	1	0	基本	Bird Cat	ネコノトリ		Lv 20 + 80	12,600	4	10	5880	3600	範囲	49	170	975	60	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	3600	3600	3600	3600	3600	3600	3600	3600	3600	0	170	no_update
006	2	0	基本	UFO Cat	ネコUFO		Lv 20 + 80	12,600	4	10	6930	3647	範囲	57	170	975	60	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	3647	3647	3647	3647	3647	3647	3647	3647	3647	0	170	no_update
006	3	1	基本	The Flying Cat	天空のネコ		Lv 20 + 80	25,200	4	10	13860	7295	範囲	57	170	975	116	対 天使 20％の確率で120～144F攻撃力50％に低下 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	7295	7295	7295	7295	7295	7295	7295	7295	7295	0	170	no_update
007	1	0	基本	Fish Cat	ネコフィッシュ		Lv 20 + 80	29,400	3	10	7560	4279	単体	53	150	1200	136	対 赤い敵 めっぽう強い（与ダメx1.5～1.8 被ダメx0.5～0.4） 	1	1.5	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	0	0	1	4279	6418	4279	4279	4279	4279	4279	4279	4279	0	150	no_update
007	2	0	基本	Whale Cat	ネコクジラ		Lv 20 + 80	29,400	3	10	7560	4279	単体	53	150	1200	136	対 赤い敵 めっぽう強い（与ダメx1.5～1.8 被ダメx0.5～0.4） 	1	1.5	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	0	0	1	4279	6418	4279	4279	4279	4279	4279	4279	4279	0	150	no_update
007	3	1	基本	Island Cat	ネコ島		Lv 20 + 80	58,800	3	10	15120	8558	単体	53	150	1200	256	対 赤い敵 めっぽう強い（与ダメx1.5～1.8 被ダメx0.5～0.4）  2％の確率でクリティカル攻撃	1	1.5	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	0	2	1	8729	13008	8729	8729	8729	8729	8729	8729	8729	0	150	no_update
008	1	0	基本	Lizard Cat	ネコトカゲ		Lv 20 + 80	33,600	3	10	14700	3419	単体	129	400	1500	316	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	3419	3419	3419	3419	3419	3419	3419	3419	3419	0	400	no_update
008	2	0	基本	Dragon Cat	ネコドラゴン		Lv 20 + 80	33,600	3	10	14700	3472	単体	127	400	1500	316	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	3472	3472	3472	3472	3472	3472	3472	3472	3472	0	400	no_update
008	3	1	基本	King Dragon Cat	ネコキングドラゴン		Lv 20 + 80	37,800	3	10	16800	3969	単体	127	400	1500	516	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	3969	3969	3969	3969	3969	3969	3969	3969	3969	0	400	no_update
009	1	0	基本	Titan Cat	巨神ネコ		Lv 20 + 80	42,000	1	8	11760	5266	範囲	67	150	1950	556	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	5266	5266	5266	5266	5266	5266	5266	5266	5266	0	150	no_update
009	2	0	基本	Mythical Titan Cat	ネコダラボッチ		Lv 20 + 80	42,000	1	8	11760	5266	範囲	67	150	1950	556	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	5266	5266	5266	5266	5266	5266	5266	5266	5266	0	150	no_update
009	3	1	基本	Jamiera Cat	ネコジャラミ		Lv 20 + 80	84,000	1	8	23520	10531	範囲	67	150	1950	676	対 全ての敵（メタル 無 魔 使 除く） 30％の確率でふっとばす	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	10531	10531	10531	10531	10531	10531	10531	10531	10531	0	150	no_update
010	1	0	EX	Actress Cat	ネコ女優		Lv 30 + 0	6,800	3	10	1700	405	範囲	126	350	900	76	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	405	405	405	405	405	405	405	405	405	0	350	no_update
010	2	0	EX	Mother Cat	ネコ聖母		Lv 30 + 0	6,800	3	10	1700	405	範囲	126	350	900	76	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	405	405	405	405	405	405	405	405	405	0	350	no_update
010	3	1	EX	Beefcake Cat	ネコマッチョ		Lv 30 + 0	11,050	3	10	1700	593	範囲	86	350	900	76	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	593	593	593	593	593	593	593	593	593	0	350	no_update
011	1	0	EX	Kung Fu Cat	カンフーにゃんこ		Lv 30 + 0	15,300	1	9	18700	2671	範囲	210	300	2250	606	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	2671	2671	2671	2671	2671	2671	2671	2671	2671	0	300	no_update
011	2	0	EX	Drunken Master Cat	酔拳にゃんこ		Lv 30 + 0	15,300	1	9	20570	2939	範囲	210	300	2250	606	3連続攻撃（4,115 1,020 15,435）	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	2939	2939	2939	2939	2939	2939	2939	2939	2939	0	300	no_update
011	3	1	EX	Dancer Cat	ネコダンサー		Lv 30 + 0	15,300	1	9	20570	2939	範囲	210	330	2250	606	無効（攻撃力低下）	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	2939	2939	2939	2939	2939	2939	2939	2939	2939	0	330	no_update
012	1	0	EX	Mr.	Mr.		Lv 30 + 0	8,500	5	31	595	992	範囲	18	140	825	226	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	992	992	992	992	992	992	992	992	992	0	140	no_update
012	2	0	EX	Super Mr.	Super Mr.		Lv 30 + 0	8,500	5	31	595	992	範囲	18	140	825	226	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	992	992	992	992	992	992	992	992	992	0	140	no_update
012	3	1	EX	Hyper Mr.	Hyper Mr.		Lv 30 + 0	8,500	5	47	595	992	範囲	18	140	825	226	対 ゾンビ ゾンビキラー（倒した時、蘇生無効）	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	992	992	992	992	992	992	992	992	992	0	140	no_update
013	1	0	EX	Bondage Cat	猫縛り		Lv 30 + 0	11,900	1	5	1700	1133	単体	45	120	1035	186	対 赤い敵 めっぽう強い（与ダメx1.5～1.8 被ダメx0.5～0.4） 	1	1.5	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	0	0	1	1133	1699	1133	1133	1133	1133	1133	1133	1133	0	120	no_update
013	2	0	EX	Bondage CatNEO	猫縛りNEO		Lv 30 + 0	11,900	1	5	1700	1133	単体	45	120	1035	186	対 赤い敵 めっぽう強い（与ダメx1.5～1.8 被ダメx0.5～0.4） 	1	1.5	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	0	0	1	1133	1699	1133	1133	1133	1133	1133	1133	1133	0	120	no_update
013	3	1	EX	Ultimate Bondage Cat	猫縛り極上		Lv 30 + 0	23,800	1	5	1700	1133	単体	45	120	1035	186	対 赤い敵 めっぽう強い（与ダメx1.5～1.8 被ダメx0.5～0.4）  50％の確率で1度だけ生き残る 無効（ワープ）	1	1.5	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	0	0	1	1133	1699	1133	1133	1133	1133	1133	1133	1133	0	120	no_update
014	1	0	EX	Dom Cat	女王猫		Lv 30 + 0	11,900	1	5	2241	1494	単体	45	210	1440	186	3連続攻撃（747 747 747） 対 赤い敵 めっぽう強い（与ダメx1.5～1.8 被ダメx0.5～0.4） 	1	1.5	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	0	0	1	1494	2241	1494	1494	1494	1494	1494	1494	1494	0	210	no_update
014	2	0	EX	Executioner	処刑人		Lv 30 + 0	11,900	1	5	2241	1494	単体	45	210	1440	186	3連続攻撃（747 747 747） 対 赤い敵 めっぽう強い（与ダメx1.5～1.8 被ダメx0.5～0.4） 	1	1.5	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	0	0	1	1494	2241	1494	1494	1494	1494	1494	1494	1494	0	210	no_update
014	3	1	EX	Dark Lazer	暗黒嬢		Lv 30 + 0	11,900	1	5	2245	6123	単体	11	210	1440	186	対 赤い敵 黒い敵 めっぽう強い（与ダメx1.5～1.8 被ダメx0.5～0.4） 	1	1.5	1	1.5	1	1	1	1	1	1	0.5	1	0.5	1	1	1	1	1	0	0	1	6123	9184	6123	9184	6123	6123	6123	6123	6123	0	210	no_update
015	1	0	EX	Cats in a Box	ネコの箱詰め		Lv 30 + 0	13,600	3	35	5100	1515	範囲	101	140	1125	206	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1515	1515	1515	1515	1515	1515	1515	1515	1515	0	140	no_update
015	2	0	EX	Cat Gang	ネコギャング		Lv 30 + 0	13,600	3	35	5100	1515	範囲	101	140	1125	206	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1515	1515	1515	1515	1515	1515	1515	1515	1515	0	140	no_update
015	3	1	EX	Heavy Assault C.A.T	重機C・A・T		Lv 30 + 0	13,600	3	30	5100	1515	範囲	101	199	1125	206	対 黒い敵 30％の確率で200～240F攻撃力50％に低下 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1515	1515	1515	1515	1515	1515	1515	1515	1515	0	199	no_update
016	1	0	EX	Panties Cat	ネコパンツ		Lv 30 + 0	6,800	3	10	1700	408	単体	125	350	525	76	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	408	408	408	408	408	408	408	408	408	0	350	no_update
016	2	0	EX	Leaf Cat	ネコ葉っぱ		Lv 30 + 0	6,800	3	10	1700	408	単体	125	350	525	76	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	408	408	408	408	408	408	408	408	408	0	350	no_update
016	3	1	EX	Lollycat 	ネコぺろきゃん		Lv 30 + 0	6,800	3	10	1700	408	範囲	125	350	525	76	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	408	408	408	408	408	408	408	408	408	0	350	no_update
017	1	0	EX	Moneko 	もねこ		Lv 30 + 0	10,200	4	5	6800	1606	単体	127	160	148	1744	15％の確率でクリティカル攻撃	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	15	1	1846	1846	1846	1846	1846	1846	1846	1846	1846	0	160	no_update
017	2	1	EX	Miss MONEKO	スターもねこ		Lv 30 + 0	17,000	4	5	6800	1606	単体	127	160	148	1744	15％の確率でクリティカル攻撃	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	15	1	1846	1846	1846	1846	1846	1846	1846	1846	1846	0	160	no_update
018	1	0	EX	Tricycle Cat	ネコリンリン		Lv 30 + 0	6,800	4	10	3060	1556	範囲	59	170	1050	60	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1556	1556	1556	1556	1556	1556	1556	1556	1556	0	170	no_update
018	2	0	EX	Biker Cat	ネコワイルド		Lv 30 + 0	6,800	4	10	3060	1556	範囲	59	170	1050	60	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1556	1556	1556	1556	1556	1556	1556	1556	1556	0	170	no_update
018	3	1	EX	Unicycle Cat	イチリンリン		Lv 30 + 0	6,800	4	10	3060	1556	範囲	59	170	525	60	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1556	1556	1556	1556	1556	1556	1556	1556	1556	0	170	no_update
019	1	0	EX	Ninja Cat	ネコ忍者		Lv 30 + 0	4,080	3	13	474	677	単体	21	150	300	60	2連続攻撃（237 237） 対 赤い敵 めっぽう強い（与ダメx1.5～1.8 被ダメx0.5～0.4） 	1	1.5	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	0	0	1	677	1015	677	677	677	677	677	677	677	0	150	no_update
019	2	0	EX	Ninja Frog Cat	ガマネコ忍者		Lv 30 + 0	4,080	3	13	474	677	単体	21	150	300	60	2連続攻撃（237 237） 対 赤い敵 めっぽう強い（与ダメx1.5～1.8 被ダメx0.5～0.4） 	1	1.5	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	0	0	1	677	1015	677	677	677	677	677	677	677	0	150	no_update
019	3	1	EX	Flying Ninja Cat	ムササビネコ忍者		Lv 30 + 0	4,080	3	10	475	679	単体	21	150	225	60	対 赤い敵 めっぽう強い（与ダメx1.5～1.8 被ダメx0.5～0.4） 	1	1.5	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	0	0	1	679	1018	679	679	679	679	679	679	679	0	150	no_update
020	1	0	EX	Zombie Cat	ネコゾンビ		Lv 30 + 0	11,900	3	8	3400	1729	単体	59	150	1125	146	対 赤い敵 めっぽう強い（与ダメx1.5～1.8 被ダメx0.5～0.4） 	1	1.5	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	0	0	1	1729	2593	1729	1729	1729	1729	1729	1729	1729	0	150	no_update
020	2	0	EX	Devil Cat	デビルネコ		Lv 30 + 0	11,900	3	8	3400	1729	単体	59	150	1125	146	対 赤い敵 めっぽう強い（与ダメx1.5～1.8 被ダメx0.5～0.4） 	1	1.5	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	0	0	1	1729	2593	1729	1729	1729	1729	1729	1729	1729	0	150	no_update
020	3	1	EX	Skelecat 	ネコボーン		Lv 30 + 0	11,900	3	8	3400	1729	範囲	59	150	1125	146	対 赤い敵 ゾンビ めっぽう強い（与ダメx1.5～1.8 被ダメx0.5～0.4）  対 ゾンビ ゾンビキラー（倒した時、蘇生無効）	1	1.5	1	1	1	1	1	1.5	1	1	0.5	1	1	1	1	1	0.5	1	0	0	1	1729	2593	1729	1729	1729	1729	1729	2593	1729	0	150	no_update
021	1	0	EX	Samurai Cat	ネコざむらい		Lv 30 + 0	9,180	3	7	2210	1163	単体	57	150	525	60	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1163	1163	1163	1163	1163	1163	1163	1163	1163	0	150	no_update
021	2	0	EX	Knight Cat	ネコナイト		Lv 30 + 0	9,180	3	7	2210	1163	単体	57	160	525	60	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1163	1163	1163	1163	1163	1163	1163	1163	1163	0	160	no_update
021	3	1	EX	Pastry Cat	ネコパティシエ		Lv 30 + 0	9,180	3	7	2210	1163	単体	57	160	525	60	対 全ての敵（メタル 無 魔 使 除く） 10％の確率で60～72F動きを遅くする 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1163	1163	1163	1163	1163	1163	1163	1163	1163	0	160	no_update
022	1	0	EX	Sumo Cat	スモウネコ		Lv 30 + 0	10,200	1	8	150	132	範囲	34	110	300	60	3連続攻撃（50 50 50）	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	132	132	132	132	132	132	132	132	132	0	110	no_update
022	2	0	EX	Madame Sumo	マダム・ザ・スモウ		Lv 30 + 0	10,200	1	8	150	132	範囲	34	110	300	60	3連続攻撃（50 50 50）	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	132	132	132	132	132	132	132	132	132	0	110	no_update
022	3	1	EX	Riceball Cat	ネコにぎり		Lv 30 + 0	10,200	1	24	150	132	範囲	34	110	300	60	3連続攻撃（50 50 50） 無効（ふっとばす）	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	132	132	132	132	132	132	132	132	132	0	110	no_update
023	1	0	EX	Boogie Cat	ネコフィーバー		Lv 30 + 0	3,400	3	6	340	237	単体	43	140	75	60	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	237	237	237	237	237	237	237	237	237	0	140	no_update
023	2	0	EX	Samba Cat	ネコカーニバル		Lv 30 + 0	3,400	3	6	340	237	単体	43	140	75	60	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	237	237	237	237	237	237	237	237	237	0	140	no_update
023	3	1	EX	Gato Amigo	ネコアミーゴ		Lv 30 + 0	3,400	3	6	340	237	単体	43	140	75	60	対 全ての敵（メタル 無 魔 使 除く） 5％の確率でふっとばす	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	237	237	237	237	237	237	237	237	237	0	140	no_update
024	1	0	EX	Skirt Cat	ネコスカート		Lv 30 + 0	6,800	3	10	1700	408	単体	125	350	525	76	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	408	408	408	408	408	408	408	408	408	0	350	no_update
024	2	0	EX	Tights Cat	ネコタイツ		Lv 30 + 0	6,800	3	10	1700	408	単体	125	350	525	76	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	408	408	408	408	408	408	408	408	408	0	350	no_update
024	3	1	EX	Loincloth Cat	ねこななふん		Lv 30 + 0	6,800	3	10	1700	600	単体	85	350	525	76	30％の確率でバリアブレイク	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	600	600	600	600	600	600	600	600	600	0	350	no_update
025	1	0	EX	Valkyrie Cat	ネコヴァルキリー		Lv 30 + 0	23,800	2	20	8500	1977	範囲	129	350	3000	1946	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1977	1977	1977	1977	1977	1977	1977	1977	1977	0	350	no_update
025	2	0	EX	True Valkyrie Cat	ネコヴァルキリー・真		Lv 30 + 0	23,800	2	20	8500	1977	範囲	129	350	3000	1946	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1977	1977	1977	1977	1977	1977	1977	1977	1977	0	350	no_update
025	3	1	EX	Holy Valkyrie Cat	ネコヴァルキリー・聖		Lv 30 + 0	23,800	2	20	12240	2847	範囲	129	350	3000	1946	対 全ての敵（メタル 無 魔 使 除く） 35％の確率で60～72F動きを止める 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	2847	2847	2847	2847	2847	2847	2847	2847	2847	0	350	no_update
026	1	0	EX	Bahamut Cat	ネコムート		Lv 30 + 0	25,500	3	6	85000	4250	範囲	600	450	4500	4546	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	4250	4250	4250	4250	4250	4250	4250	4250	4250	0	450	no_update
026	2	0	EX	Crazed Bahamut	狂乱のネコムート		Lv 30 + 0	25,500	3	6	85000	4250	範囲	600	450	4500	4546	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	4250	4250	4250	4250	4250	4250	4250	4250	4250	0	450	no_update
026	3	1	EX	Awakened Bahamut Cat	覚醒のネコムート		Lv 30 + 0	25,500	6	60	93500	30161	範囲	93	200	4500	2946	3連続攻撃（85,000 3,400 5,100）	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	30161	30161	30161	30161	30161	30161	30161	30161	30161	0	200	no_update
027	1	0	EX	Kerihime	ケリ姫	Princess Punt	Lv 30 + 0	10,200	1	35	6800	1127	単体	181	140	675	546	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1127	1127	1127	1127	1127	1127	1127	1127	1127	0	140	no_update
027	2	0	EX	Full Color Kerihime	フルカラーケリ姫	Princess Punt	Lv 30 + 0	10,200	1	35	6800	1127	単体	181	140	675	546	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1127	1127	1127	1127	1127	1127	1127	1127	1127	0	140	no_update
027	3	1	EX	Wedding Kerihime	ウェディングケリ姫	Princess Punt	Lv 30 + 0	10,200	1	40	13600	2254	単体	181	140	675	546	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	2254	2254	2254	2254	2254	2254	2254	2254	2254	0	140	no_update
028	1	0	EX	Cat Princess	ネコひめ	Princess Punt	Lv 30 + 0	10,200	1	35	7650	1425	単体	161	140	675	446	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1425	1425	1425	1425	1425	1425	1425	1425	1425	0	140	no_update
028	2	1	EX	Cat Princess Beauty	ネコひめビューティ	Princess Punt	Lv 30 + 0	10,200	1	35	7650	1425	単体	161	140	675	446	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1425	1425	1425	1425	1425	1425	1425	1425	1425	0	140	no_update
029	1	0	EX	Capsule Cat	ネコカプセル	MattShea Collaboration	Lv 30 + 0	17	1	70	5100	689	単体	222	140	666	346	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	689	689	689	689	689	689	689	689	689	0	140	no_update
029	2	1	EX	Cramped Cats	ねこ盛り	MattShea Collaboration	Lv 30 + 0	17	1	70	5100	689	単体	222	140	666	346	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	689	689	689	689	689	689	689	689	689	0	140	no_update
030	1	0	EX	Masked Cat	マスクオブネコ	Nyanko Daisensou lottery	Lv 30 + 0	1,700	3	10	135	109	単体	37	140	75	60	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	109	109	109	109	109	109	109	109	109	0	140	no_update
030	2	1	EX	Luchador Cat	ネコレスラー	Nyanko Daisensou lottery	Lv 30 + 0	8,500	1	8	2380	1066	範囲	67	150	975	346	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1066	1066	1066	1066	1066	1066	1066	1066	1066	0	150	no_update
